INSTITUICAO_ENSINO_ALUNO_2020,IDADE_ALUNO_2020,ANOS_PM_2020,FASE_TURMA_2020,PONTO_VIRADA_2020,INDE_2020,INDE_CONCEITO_2020,PEDRA_2020,IAA_2020,IEG_2020,IPS_2020,IDA_2020,IPP_2020,IPV_2020,IAN_2020,FASE_2021,INSTITUICAO_ENSINO_ALUNO_2021,PEDRA_2021,INDE_2021,IAA_2021,IEG_2021,IPS_2021,IDA_2021,IPP_2021,PONTO_VIRADA_2021,IPV_2021,IAN_2021,FASE_2022,INDE_2022,PEDRA_2022,IAA_2022,IEG_2022,IPS_2022,IDA_2022,IPP_2022,PONTO_VIRADA_2022,IPV_2022,IAN_2022
Escola Pública,11,2,2H,Não,7.883752,B,Ametista,8.500020000000001,8.7,7.5,7,5.9375,7.75,10,2.0,Rede Decisão,Ametista,7319,7.5,6.3,6.9,8.8,7.7,Não,8.1,5.0,,,,,,,,,,,
Escola Pública,12,2,3H,Não,7.856389666666666,B,Ametista,7.91667,8.9,7.5,5.5,8125,8.111113333333334,10,3.0,Escola Pública,Ametista,7021,7.1,6.9,6.3,5.6,7.3,Não,7.2,10.0,,,,,,,,,,,
Escola Pública,10,2,1D,Não,5.076252,D,Quartzo,8.000020000000001,4.1,6875,0,7.1875,7.75,5,,,,,,,,,,,,,2.0,7.117065047619048,Ametista,10.00002,8.071428571428571,7.5,5.083333333333334,6.25,Não,8.055553333333334,5.0
Escola Pública,10,1,2M,Não,8.077085,B,Ametista,7.50002,8,7.5,7.5,8.4375,8.166665,10,2.0,Escola Pública,Ametista,7399,7.4,7.5,7.5,5.4,8.5,Não,7.4,10.0,2.0,7.232336307992202,Ametista,6.41668,8.557504873294347,7.5,7.083333333333334,6.458333333333334,Não,7.833336666666667,5.0
Rede Decisão/União,14,3,4L,Sim,8.381390666666666,B,Ametista,8.33334,9.9,4375,7.333333333333333,8.749999999999998,8.94445,10,5.0,Rede Decisão,Topázio,8269,8.8,8.6,7.5,7.1,8.0,Não,8.5,10.0,5.0,7.289795442501942,Ametista,9.16668,8.268065268065268,5.0,7.144444444444445,7.65625,Não,7.6250025,5.0
Escola Pública,13,1,3B,Não,5.1618745,D,Quartzo,5.83333,5.2,3.75,0,7.96875,6.8333325,10,,,,,,,,,,,,,,,,,,,,,,,
Escola Pública,8,0,0A,Sim,9.712504000000001,A,Topázio,9.000020000000001,10,8125,10,10,10.00001,10,1.0,Rede Decisão,Topázio,8990,9.0,10.0,6.3,8.8,7.7,Sim,9.7,10.0,1.0,8.464686539682539,Topázio,8.000020000000001,9.198412698412698,7.5,9.833333333333332,7.083333333333332,Sim,9.50001,5.0
Rede Decisão/União,14,3,3G,Não,5.838887333333334,D,Quartzo,6.25,6,5625,6.666666666666667,5.624999999999999,5.277770000000001,5,,,,,,,,,,,,,,,,,,,,,,,
Escola Pública,11,2,2M,Não,6.434585,C,Ágata,8.000020000000001,7.6,6875,0,8.4375,7.916665,10,,,,,,,,,,,,,,,,,,,,,,,
Escola Pública,12,1,2D,Não,5.162502,D,Quartzo,8.500020000000001,4,7.5,0,8125,7.25,5,,,,,,,,,,,,,,,,,,,,,,,
